ID,Age,Gender,Familiarity,VisualHrs,AudioHrs,PracticalHrs,WrittenHrs,SupportRating,BestMethod,DigitalFreq,MethodEffectiveness,ResourceRating,ElapsedMins,YearNum,PrefStyleShort,AssessmentScore,TotalStudyHrs,DominantMode,ModeMatchesPreference
1,22,Man,8,23,23,23,23,5,Online lectures,6,6,6,0.7666666666666667,3,Kinesthetic,85,92,Visual,False
2,19,Man,10,5,5,6,8,9,Face to face lectures,10,10,10,1.5333333333333334,1,Visual,85,24,Written,False
3,18,Woman,5,0,1,0,5,5,Practical workshops,7,6,5,1.6,1,Reading,85,6,Written,False
4,23,Woman,5,2,1,2,2,6,Online lectures,9,6,6,2.8833333333333333,1,Auditory,85,7,Visual,False
5,19,Woman,7,1,10,1,5,6,Face to face lectures,8,6,6,1.7333333333333334,1,Reading,65,17,Auditory,False
6,19,Woman,7,1,0,2,1,8,Face to face lectures,3,7,7,2.2333333333333334,1,Mixed,85,4,Practical,False
7,19,Man,7,25,5,2,2,8,Face to face lectures,7,6,5,4.466666666666667,1,Visual,85,34,Visual,True
8,20,Man,6,15,15,20,10,8,Practical workshops,10,8,8,2.566666666666667,1,Mixed,50,60,Practical,False
9,20,Man,7,5,6,4,2,7,Online lectures,10,10,8,18.35,1,Visual,65,17,Auditory,False
10,20,Man,7,6,2,3,1,7,Group work,7,6,8,1.8,1,Visual,50,12,Visual,True
11,24,Woman,9,2,15,5,30,7,Library resources,7,7,4,4.9,1,Kinesthetic,85,52,Written,False
12,18,Woman,2,20,20,30,25,1,Practical workshops,5,6,4,137.06666666666666,1,Kinesthetic,85,95,Practical,False
13,18,Woman,5,2,2,3,3,5,Face to face lectures,5,5,5,1.55,1,Mixed,85,10,Practical,False
14,18,Man,10,8,8,9,0,10,Online lectures,8,7,10,0.95,1,Visual,85,25,Practical,False
15,20,Man,9,2,1,3,5,8,Face to face lectures,7,8,8,1.15,1,Visual,65,11,Written,False
16,19,Woman,7,20,10,2,16,7,Face to face lectures,6,4,7,8.65,1,Auditory,85,48,Visual,False
17,20,Woman,4,5,10,5,5,4,Group work,4,4,4,2.3333333333333335,1,Reading,50,25,Auditory,False
18,18,Woman,7,2,4,4,0,8,Practical workshops,8,8,7,4.633333333333334,1,Mixed,85,10,Auditory,False
