ID,Start time,Completion time,Email,Name,Last modified time,Age?,Gender?,Year of study?,From the scale of 1 to 10 how familiar are you with the concept of learning styles?,Which learning style best describes you?,"How many hours do you use visual learning aids (e.g. diagram, charts ,videos)?","How many hours do you spend on audio-based learning ( Lectures, podcasts, discussions)?","How many hours do you spend on hands-on or practical learning ( experiments,  case studies)?","How many hours do you study using written materials (Books, articles, notes)?",From the scale of 1 to 10 how much LSBU teaching methods support your learning style?,Which LSBU learning method do you find most effective?,"How often do you use LSBU's digital learning resources (Moodle, recorded lectures, online library)?",How effective do you find LSBU's current teaching methods?,What is your average assessment results(%)?,From the scale of 1 to 10 how much do you believe  that LSBU have necessary resources matching your learning style? 
1,2/28/25 17:50:05,2/28/25 17:50:51,anonymous,,,22,Man,Third year,8,Kinesthetic ( Hands-on activities),23,23,23,23,5,Online lectures,6,6,Above 70,6
2,3/5/25 11:05:32,3/5/25 11:07:04,anonymous,,,19,Man,First year,10,"Visual (Images, charts)",5,5,6,8,9,Face to face lectures,10,10,Above 70,10
3,3/5/25 11:05:51,3/5/25 11:07:27,anonymous,,,18,Woman,First year,5,Reading/ Writing ( Text-based learning),0,1,0,5,5,Practical workshops,7,6,Above 70,5
4,3/5/25 11:05:20,3/5/25 11:08:13,anonymous,,,23,Woman,First year,5,"Auditory ( Listening, discussions)",2,1,2,2,6,Online lectures,9,6,Above 70,6
5,3/5/25 11:06:48,3/5/25 11:08:32,anonymous,,,19,Woman,First year,7,Reading/ Writing ( Text-based learning),1,10,1,5,6,Face to face lectures,8,6,60 to 70,6
6,3/5/25 11:06:40,3/5/25 11:08:54,anonymous,,,19,Woman,First year,7,Mix of styles,1,0,2,1,8,Face to face lectures,3,7,Above 70,7
7,3/5/25 11:05:36,3/5/25 11:10:04,anonymous,,,19,Man,First year,7,"Visual (Images, charts)",25,5,2,2,8,Face to face lectures,7,6,Above 70,5
8,3/5/25 11:08:19,3/5/25 11:10:53,anonymous,,,20,Man,First year,6,Mix of styles,15,15,20,10,8,Practical workshops,10,8,41 to 60,8
9,3/5/25 12:09:07,3/5/25 12:27:28,anonymous,,,20,Man,First year,7,"Visual (Images, charts)",5,6,4,2,7,Online lectures,10,10,60 to 70,8
10,3/5/25 12:31:13,3/5/25 12:33:01,anonymous,,,20,Man,First year,7,"Visual (Images, charts)",6,2,3,1,7,Group work,7,6,41 to 60,8
11,3/5/25 12:55:04,3/5/25 12:59:58,anonymous,,,24,Woman,First year,9,Kinesthetic ( Hands-on activities),2,15,5,30,7,Library resources,7,7,Above 70,4
12,3/5/25 12:55:13,3/5/25 15:12:17,anonymous,,,18,Woman,First year,2,Kinesthetic ( Hands-on activities),20,20,30,25,1,Practical workshops,5,6,Above 70,4
13,3/5/25 16:12:34,3/5/25 16:14:07,anonymous,,,18,Woman,First year,5,Mix of styles,2,2,3,3,5,Face to face lectures,5,5,Above 70,5
14,3/6/25 10:55:44,3/6/25 10:56:41,anonymous,,,18,Man,First year,10,"Visual (Images, charts)",8,8,9,0,10,Online lectures,8,7,Above 70,10
15,3/6/25 10:55:47,3/6/25 10:56:56,anonymous,,,20,Man,First year,9,"Visual (Images, charts)",2,1,3,5,8,Face to face lectures,7,8,60 to 70,8
16,3/6/25 10:52:20,3/6/25 11:00:59,anonymous,,,19,Woman,First year,7,"Auditory ( Listening, discussions)",20,10,2,16,7,Face to face lectures,6,4,Above 70,7
